Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2014-12-03,21.9,39.4,1.6,11.2,11.5,NNW,57.0,NE,N,20.0,33.0,50.0,26.0,1008.5,1004.1,2.0,6.0,29.8,35.4,Yes,Yes
2015-01-08,20.5,37.5,0.0,9.2,8.4,WNW,59.0,ENE,N,17.0,20.0,47.0,22.0,1012.9,1006.5,4.0,7.0,27.3,35.7,No,Yes
2009-08-16,5.1,17.2,0.2,,,W,50.0,WNW,W,28.0,22.0,68.0,51.0,,,,,10.1,16.1,No,No
2016-08-31,11.9,16.8,1.0,,,SW,28.0,WNW,SW,11.0,13.0,80.0,79.0,1018.5,1017.7,,,14.3,15.2,No,No
2011-08-28,7.5,21.3,0.0,,,NE,15.0,SW,NNE,2.0,7.0,88.0,52.0,,,,,13.7,21.1,No,No
2014-02-04,21.7,39.8,0.0,,12.8,E,54.0,ENE,NW,26.0,9.0,32.0,18.0,1011.2,1007.2,0.0,1.0,28.4,37.8,No,No
2010-09-16,17.7,20.4,0.0,2.4,8.9,NW,72.0,WNW,W,43.0,33.0,76.0,71.0,1010.3,1011.7,5.0,3.0,19.4,19.4,No,No
2014-12-06,20.5,26.7,1.8,5.6,6.6,ENE,30.0,NE,E,17.0,17.0,70.0,61.0,1007.7,1004.1,6.0,7.0,23.4,25.5,Yes,Yes
2016-06-19,8.6,18.6,0.0,,,,,SSE,,7.0,,92.0,,1008.2,1004.5,7.0,,13.2,,No,Yes
2014-08-28,11.1,24.3,0.0,4.2,5.9,NNW,33.0,NNE,NW,9.0,17.0,68.0,45.0,1017.1,1014.7,7.0,7.0,15.4,22.2,No,No
2014-04-21,13.2,25.3,0.0,4.0,9.7,W,35.0,W,ESE,20.0,15.0,48.0,31.0,1021.1,1018.5,1.0,3.0,15.9,24.4,No,No
2012-10-23,9.9,21.4,0.4,4.8,,SSW,33.0,SSW,ESE,13.0,11.0,55.0,32.0,1027.8,1025.6,,,15.6,20.0,No,No
2015-04-10,10.5,24.4,0.0,7.0,,ESE,24.0,E,SSW,13.0,7.0,53.0,23.0,1022.1,1019.3,6.0,7.0,16.3,23.4,No,No
2013-11-10,10.6,32.8,0.0,,,N,44.0,NE,N,15.0,22.0,38.0,20.0,1016.3,1013.4,,,24.2,31.2,No,No
2009-07-07,8.6,18.5,3.2,1.8,2.0,WNW,26.0,NNE,WNW,4.0,7.0,88.0,49.0,1017.6,1016.4,6.0,7.0,11.7,17.5,Yes,Yes
2015-08-25,21.8,28.7,0.2,3.4,6.7,E,33.0,SSE,E,13.0,24.0,80.0,56.0,1019.6,1016.9,7.0,6.0,24.2,27.6,No,No
2009-04-10,6.9,24.5,0.2,3.8,6.6,S,37.0,NNW,S,9.0,26.0,96.0,57.0,1019.4,1018.0,6.0,6.0,11.6,21.7,No,Yes
2009-08-10,2.3,20.2,0.0,,,NNE,46.0,NE,N,26.0,19.0,75.0,54.0,,,,,9.7,19.6,No,Yes
2010-05-17,2.6,16.2,0.0,,,WSW,15.0,W,WSW,7.0,7.0,90.0,53.0,1021.6,1018.2,,,5.0,15.8,No,No
2015-03-30,11.8,26.2,0.0,8.0,,W,26.0,NE,WSW,2.0,15.0,68.0,45.0,1025.2,1023.6,,,16.4,24.8,No,No
2014-03-08,14.1,27.9,0.0,3.6,10.0,S,31.0,SW,S,9.0,20.0,81.0,49.0,1022.1,1019.1,7.0,5.0,18.2,26.4,No,No
2009-09-06,13.7,23.5,0.0,,,SE,24.0,SSE,E,11.0,15.0,66.0,68.0,1018.2,1015.3,,,20.7,22.1,No,No
2014-12-30,22.2,33.5,46.6,,,ENE,48.0,E,ENE,11.0,11.0,86.0,92.0,1009.3,1004.5,6.0,5.0,26.6,33.0,Yes,Yes
2013-06-06,9.7,15.4,0.0,1.2,2.2,WNW,54.0,WNW,WNW,19.0,24.0,85.0,71.0,1017.7,1016.0,7.0,7.0,11.9,14.7,No,Yes
2016-09-19,13.1,21.4,13.4,1.0,10.1,W,59.0,W,W,30.0,28.0,53.0,38.0,1008.5,1008.7,1.0,1.0,17.7,20.6,Yes,No
2013-08-20,5.3,13.5,0.6,3.4,6.7,WSW,52.0,W,WSW,31.0,30.0,64.0,61.0,1016.0,1014.6,4.0,7.0,8.0,12.0,No,No
2015-10-16,8.5,19.5,1.8,2.4,12.3,,,NW,,4.0,,75.0,,1022.5,1020.5,2.0,,16.5,,Yes,No
2012-06-28,-1.5,14.5,0.2,0.4,3.8,NNE,17.0,,NE,0.0,11.0,93.0,50.0,1027.3,1020.9,8.0,7.0,2.8,13.1,No,No
2010-02-06,13.6,28.4,0.0,,13.0,W,30.0,,WSW,0.0,19.0,55.0,31.0,1021.6,1018.5,,,17.3,26.4,No,No
2017-01-23,21.4,39.7,7.0,24.6,,N,50.0,ENE,WNW,19.0,28.0,44.0,24.0,1009.6,1004.5,,7.0,27.5,38.6,Yes,No
